position=<-42346,  10806> velocity=< 4, -1>
position=< 53418, -53021> velocity=<-5,  5>
position=< 42781, -53023> velocity=<-4,  5>
position=<-52988,  53362> velocity=< 5, -5>
position=<-21072,  21449> velocity=< 2, -2>
position=< 53390,  21453> velocity=<-5, -2>
position=< 42783, -10464> velocity=<-4,  1>
position=< 32142, -10467> velocity=<-3,  1>
position=<-10428,  32089> velocity=< 1, -3>
position=< 53417,  10814> velocity=<-5, -1>
position=<-42318, -10463> velocity=< 4,  1>
position=<-52987,  53362> velocity=< 5, -5>
position=<-42358, -10466> velocity=< 4,  1>
position=<-52997,  21445> velocity=< 5, -2>
position=<-21096, -53019> velocity=< 2,  5>
position=<-42345,  53368> velocity=< 4, -5>
position=<-52962,  32093> velocity=< 5, -3>
position=<-42342, -21104> velocity=< 4,  2>
position=<-52997, -31745> velocity=< 5,  3>
position=<-10424, -42385> velocity=< 1,  4>
position=<-52964, -42389> velocity=< 5,  4>
position=< 21460,  53367> velocity=<-2, -5>
position=<-52969, -53021> velocity=< 5,  5>
position=< 10850, -31744> velocity=<-1,  3>
position=<-42358, -53020> velocity=< 4,  5>
position=<-31695,  53363> velocity=< 3, -5>
position=<-10416, -31744> velocity=< 1,  3>
position=<-21056,  53371> velocity=< 2, -5>
position=< 42747,  53371> velocity=<-4, -5>
position=<-42350, -53020> velocity=< 4,  5>
position=< 42746, -42383> velocity=<-4,  4>
position=<-31693, -21106> velocity=< 3,  2>
position=<-10453,  10815> velocity=< 1, -1>
position=< 42786, -10471> velocity=<-4,  1>
position=< 32099, -42382> velocity=<-3,  4>
position=< 10829, -42383> velocity=<-1,  4>
position=<-10401,  42727> velocity=< 1, -4>
position=< 53430, -42383> velocity=<-5,  4>
position=<-31690, -21103> velocity=< 3,  2>
position=<-52976,  32085> velocity=< 5, -3>
position=<-21056, -53019> velocity=< 2,  5>
position=<-31727, -53020> velocity=< 3,  5>
position=< 21468, -53026> velocity=<-2,  5>
position=<-42318, -53021> velocity=< 4,  5>
position=<-52952, -31741> velocity=< 5,  3>
position=< 42738,  21451> velocity=<-4, -2>
position=< 53428, -31741> velocity=<-5,  3>
position=<-31703,  42726> velocity=< 3, -4>
position=<-42356,  10806> velocity=< 4, -1>
position=< 10853,  53366> velocity=<-1, -5>
position=<-21069,  21445> velocity=< 2, -2>
position=<-52979,  53366> velocity=< 5, -5>
position=< 10829, -31745> velocity=<-1,  3>
position=< 21476,  32085> velocity=<-2, -3>
position=< 32150, -42384> velocity=<-3,  4>
position=< 32115, -10470> velocity=<-3,  1>
position=< 53387, -21111> velocity=<-5,  2>
position=< 10865,  32091> velocity=<-1, -3>
position=<-21094,  21454> velocity=< 2, -2>
position=<-31727,  10810> velocity=< 3, -1>
position=< 10856, -42389> velocity=<-1,  4>
position=< 53433, -42387> velocity=<-5,  4>
position=< 10865,  32086> velocity=<-1, -3>
position=< 21509, -42389> velocity=<-2,  4>
position=<-52965, -10465> velocity=< 5,  1>
position=< 10850,  21452> velocity=<-1, -2>
position=<-21044,  21445> velocity=< 2, -2>
position=<-31731, -21102> velocity=< 3,  2>
position=<-31686, -10463> velocity=< 3,  1>
position=<-31718,  10806> velocity=< 3, -1>
position=<-21062, -42389> velocity=< 2,  4>
position=< 42754,  32084> velocity=<-4, -3>
position=< 21481, -10469> velocity=<-2,  1>
position=<-52972,  53369> velocity=< 5, -5>
position=<-21088,  42730> velocity=< 2, -4>
position=< 32123, -42386> velocity=<-3,  4>
position=<-31698,  53365> velocity=< 3, -5>
position=< 32120, -31747> velocity=<-3,  3>
position=<-21048, -21108> velocity=< 2,  2>
position=< 32151,  21450> velocity=<-3, -2>
position=<-53005, -31745> velocity=< 5,  3>
position=< 32131, -42380> velocity=<-3,  4>
position=< 53427, -42380> velocity=<-5,  4>
position=<-31709,  10806> velocity=< 3, -1>
position=<-21061,  53366> velocity=< 2, -5>
position=<-21059,  32085> velocity=< 2, -3>
position=<-21064, -42385> velocity=< 2,  4>
position=< 21516, -10467> velocity=<-2,  1>
position=<-31727,  21447> velocity=< 3, -2>
position=<-42363,  42723> velocity=< 4, -4>
position=<-10444,  21446> velocity=< 1, -2>
position=< 32144,  21454> velocity=<-3, -2>
position=< 21516, -10468> velocity=<-2,  1>
position=<-42374, -10469> velocity=< 4,  1>
position=< 21497,  32086> velocity=<-2, -3>
position=< 53409, -53019> velocity=<-5,  5>
position=<-10439, -53024> velocity=< 1,  5>
position=< 42762, -31745> velocity=<-4,  3>
position=<-42364, -31741> velocity=< 4,  3>
position=<-52994, -53028> velocity=< 5,  5>
position=< 53377,  53365> velocity=<-5, -5>
position=<-42374,  32092> velocity=< 4, -3>
position=<-10424, -42389> velocity=< 1,  4>
position=< 21510, -42389> velocity=<-2,  4>
position=<-10404, -21106> velocity=< 1,  2>
position=< 53409,  21451> velocity=<-5, -2>
position=<-10441, -42382> velocity=< 1,  4>
position=<-42350,  32085> velocity=< 4, -3>
position=<-42337,  53363> velocity=< 4, -5>
position=< 21493,  21445> velocity=<-2, -2>
position=<-10441,  42732> velocity=< 1, -4>
position=<-31699,  32088> velocity=< 3, -3>
position=< 32101,  53371> velocity=<-3, -5>
position=< 42782,  10808> velocity=<-4, -1>
position=<-21064, -53021> velocity=< 2,  5>
position=< 53388,  10815> velocity=<-5, -1>
position=< 21468, -21103> velocity=<-2,  2>
position=<-10401, -42384> velocity=< 1,  4>
position=< 10837,  42724> velocity=<-1, -4>
position=< 32134, -31750> velocity=<-3,  3>
position=< 10866,  21454> velocity=<-1, -2>
position=< 32149,  32093> velocity=<-3, -3>
position=<-42350, -53024> velocity=< 4,  5>
position=<-10401,  32087> velocity=< 1, -3>
position=< 32143, -42383> velocity=<-3,  4>
position=<-21043,  10807> velocity=< 2, -1>
position=< 32157, -42380> velocity=<-3,  4>
position=< 53422, -21110> velocity=<-5,  2>
position=<-10444,  53363> velocity=< 1, -5>
position=<-10441,  42730> velocity=< 1, -4>
position=< 10831,  21454> velocity=<-1, -2>
position=<-21038,  32093> velocity=< 2, -3>
position=<-21048, -53026> velocity=< 2,  5>
position=< 21494,  21449> velocity=<-2, -2>
position=< 53401, -53025> velocity=<-5,  5>
position=<-31687,  42725> velocity=< 3, -4>
position=< 42765, -31750> velocity=<-4,  3>
position=<-42348, -10463> velocity=< 4,  1>
position=<-10445,  53362> velocity=< 1, -5>
position=< 53393,  10812> velocity=<-5, -1>
position=<-10425,  21453> velocity=< 1, -2>
position=<-53005,  42725> velocity=< 5, -4>
position=<-52997, -31747> velocity=< 5,  3>
position=< 53403,  32093> velocity=<-5, -3>
position=<-52997,  21450> velocity=< 5, -2>
position=< 32111, -42389> velocity=<-3,  4>
position=< 21470,  10806> velocity=<-2, -1>
position=<-10441, -31748> velocity=< 1,  3>
position=< 32140,  32086> velocity=<-3, -3>
position=<-21064,  42728> velocity=< 2, -4>
position=< 21508,  21450> velocity=<-2, -2>
position=<-52969,  21451> velocity=< 5, -2>
position=< 32110, -31741> velocity=<-3,  3>
position=<-10414, -53023> velocity=< 1,  5>
position=<-52989,  21447> velocity=< 5, -2>
position=< 42794, -10465> velocity=<-4,  1>
position=<-52968,  21445> velocity=< 5, -2>
position=<-21072,  21446> velocity=< 2, -2>
position=<-42345, -31749> velocity=< 4,  3>
position=<-21040,  21451> velocity=< 2, -2>
position=<-52997,  21446> velocity=< 5, -2>
position=<-52986, -10472> velocity=< 5,  1>
position=<-21069,  10815> velocity=< 2, -1>
position=< 32123, -21109> velocity=<-3,  2>
position=< 10857, -42385> velocity=<-1,  4>
position=< 32149, -31741> velocity=<-3,  3>
position=<-53005, -42382> velocity=< 5,  4>
position=<-21037,  42732> velocity=< 2, -4>
position=< 42798,  42732> velocity=<-4, -4>
position=<-31703,  21453> velocity=< 3, -2>
position=<-52964, -31750> velocity=< 5,  3>
position=<-42358,  32092> velocity=< 4, -3>
position=<-21060, -10468> velocity=< 2,  1>
position=<-10457, -42380> velocity=< 1,  4>
position=< 10822, -21102> velocity=<-1,  2>
position=<-42374, -31750> velocity=< 4,  3>
position=<-21046,  53362> velocity=< 2, -5>
position=< 32148,  21454> velocity=<-3, -2>
position=<-31735, -21110> velocity=< 3,  2>
position=<-31675,  42732> velocity=< 3, -4>
position=<-42342, -42385> velocity=< 4,  4>
position=< 32107,  42730> velocity=<-3, -4>
position=< 42791,  10814> velocity=<-4, -1>
position=< 42746,  21448> velocity=<-4, -2>
position=<-42322, -53023> velocity=< 4,  5>
position=< 21477, -53024> velocity=<-2,  5>
position=< 10821, -10468> velocity=<-1,  1>
position=< 32119, -42385> velocity=<-3,  4>
position=<-42349, -42389> velocity=< 4,  4>
position=< 32128,  10814> velocity=<-3, -1>
position=<-31727,  10809> velocity=< 3, -1>
position=<-21063,  10810> velocity=< 2, -1>
position=<-52989,  53370> velocity=< 5, -5>
position=< 42786,  10814> velocity=<-4, -1>
position=< 42766, -31745> velocity=<-4,  3>
position=<-31723,  21454> velocity=< 3, -2>
position=<-42358,  21449> velocity=< 4, -2>
position=< 32133, -31746> velocity=<-3,  3>
position=<-53003, -31750> velocity=< 5,  3>
position=<-21043, -31749> velocity=< 2,  3>
position=<-31735, -21108> velocity=< 3,  2>
position=< 32123, -10471> velocity=<-3,  1>
position=<-52979,  21445> velocity=< 5, -2>
position=<-31694, -21108> velocity=< 3,  2>
position=<-42333, -53022> velocity=< 4,  5>
position=<-21044,  10806> velocity=< 2, -1>
position=<-52960,  53363> velocity=< 5, -5>
position=<-10409, -21107> velocity=< 1,  2>
position=<-42374,  42732> velocity=< 4, -4>
position=< 42754, -42385> velocity=<-4,  4>
position=< 21488, -10467> velocity=<-2,  1>
position=<-31706, -53019> velocity=< 3,  5>
position=<-10433, -42382> velocity=< 1,  4>
position=< 21500,  21445> velocity=<-2, -2>
position=<-31695, -21110> velocity=< 3,  2>
position=<-42358,  42732> velocity=< 4, -4>
position=<-10416,  42729> velocity=< 1, -4>
position=<-10441, -53024> velocity=< 1,  5>
position=< 32144, -42388> velocity=<-3,  4>
position=<-52988, -21111> velocity=< 5,  2>
position=<-21096, -21105> velocity=< 2,  2>
position=< 53377,  21453> velocity=<-5, -2>
position=<-52997, -31743> velocity=< 5,  3>
position=< 10849,  42728> velocity=<-1, -4>
position=<-21048,  42731> velocity=< 2, -4>
position=< 10837,  21451> velocity=<-1, -2>
position=< 21484,  42730> velocity=<-2, -4>
position=<-31726, -10472> velocity=< 3,  1>
position=<-42355, -42385> velocity=< 4,  4>
position=< 32131, -31750> velocity=<-3,  3>
position=<-21043,  21454> velocity=< 2, -2>
position=<-42366,  10807> velocity=< 4, -1>
position=<-21096, -53024> velocity=< 2,  5>
position=<-42342, -10470> velocity=< 4,  1>
position=<-31706,  53367> velocity=< 3, -5>
position=< 42779, -10470> velocity=<-4,  1>
position=< 42789, -42389> velocity=<-4,  4>
position=< 53398,  32085> velocity=<-5, -3>
position=<-42355,  53366> velocity=< 4, -5>
position=< 10869,  10810> velocity=<-1, -1>
position=< 32147,  53368> velocity=<-3, -5>
position=<-31708, -21106> velocity=< 3,  2>
position=< 53409,  32093> velocity=<-5, -3>
position=< 21492,  42728> velocity=<-2, -4>
