x=466, y=1429..1435
y=569, x=288..295
x=185, y=1267..1288
y=1338, x=178..185
y=1290, x=452..463
x=216, y=994..1009
x=261, y=1580..1592
x=464, y=702..704
x=180, y=1780..1782
y=1074, x=292..305
x=269, y=308..310
x=489, y=1527..1553
x=443, y=1773..1774
x=289, y=499..526
y=1141, x=351..371
y=1394, x=330..335
x=356, y=782..793
x=465, y=306..320
x=241, y=1277..1282
x=546, y=855..859
x=446, y=265..268
y=1783, x=311..339
y=394, x=167..169
y=339, x=508..522
x=382, y=693..707
x=346, y=1271..1273
y=490, x=279..288
x=474, y=327..340
x=311, y=1766..1783
x=203, y=1010..1023
y=549, x=381..399
y=896, x=208..234
y=1061, x=207..235
y=1366, x=426..430
y=899, x=537..549
y=945, x=177..180
x=379, y=1667..1669
x=407, y=630..642
x=424, y=1404..1419
x=204, y=627..632
x=406, y=395..397
x=234, y=55..70
x=444, y=144..156
x=187, y=291..303
y=355, x=471..474
y=249, x=416..443
y=400, x=436..520
y=1600, x=390..411
y=1075, x=375..377
y=327, x=349..353
x=377, y=1067..1075
y=514, x=232..239
x=346, y=1245..1257
y=993, x=344..347
x=399, y=542..549
x=342, y=1003..1017
x=343, y=1762..1790
x=510, y=432..443
y=1237, x=157..160
x=397, y=880..894
x=367, y=1342..1347
x=212, y=1002..1028
x=517, y=1186..1212
x=530, y=552..575
x=278, y=769..791
x=188, y=1702..1704
x=244, y=1260..1263
x=342, y=550..559
y=240, x=185..201
y=1201, x=520..535
x=377, y=979..990
x=301, y=662..687
x=317, y=750..758
y=654, x=226..236
y=1454, x=312..345
y=1702, x=188..192
y=80, x=396..398
y=1581, x=174..176
x=366, y=1009..1017
y=1597, x=269..280
x=305, y=1200..1205
x=542, y=1481..1494
y=859, x=546..548
x=263, y=693..696
y=1717, x=353..355
x=261, y=1470..1482
x=455, y=487..495
x=325, y=1341..1350
x=487, y=860..863
y=132, x=273..286
y=121, x=158..161
y=482, x=424..427
x=333, y=1499..1509
x=536, y=136..147
x=456, y=119..145
x=270, y=497..499
x=504, y=1677..1685
y=718, x=213..241
y=1215, x=412..427
y=1435, x=466..480
x=235, y=1049..1061
y=664, x=191..215
x=304, y=813..821
x=252, y=1557..1569
x=443, y=1508..1511
y=935, x=288..314
x=382, y=714..728
x=522, y=333..339
x=519, y=1782..1784
x=249, y=1141..1155
x=265, y=753..755
y=953, x=312..328
x=227, y=1678..1690
x=321, y=1792..1797
x=171, y=938..954
x=290, y=708..725
x=312, y=385..396
y=910, x=380..404
x=485, y=349..360
x=394, y=651..664
y=1728, x=296..320
y=803, x=505..507
x=247, y=1450..1455
y=91, x=305..325
y=55, x=224..226
x=192, y=1702..1704
x=274, y=801..818
y=906, x=468..492
y=1682, x=288..310
x=530, y=1281..1284
y=973, x=321..338
x=415, y=499..502
y=97, x=470..475
y=1211, x=274..289
x=373, y=178..184
x=363, y=1577..1594
x=161, y=1469..1473
x=350, y=1387..1397
y=88, x=495..513
y=1169, x=195..200
x=273, y=311..338
x=180, y=626..632
x=319, y=120..129
x=248, y=1410..1430
x=495, y=292..294
y=1790, x=343..351
x=504, y=897..902
x=470, y=86..97
y=642, x=343..346
y=415, x=159..175
y=1297, x=362..379
x=493, y=1754..1758
y=268, x=311..323
x=438, y=520..534
x=426, y=1152..1154
y=599, x=410..435
y=1426, x=257..259
x=480, y=1430..1435
x=220, y=1254..1256
x=305, y=89..91
x=507, y=113..120
x=274, y=1206..1211
x=337, y=706..709
x=431, y=1069..1081
x=192, y=747..751
x=353, y=1708..1717
x=552, y=156..163
y=1493, x=498..501
x=508, y=1597..1613
x=312, y=705..709
y=770, x=219..241
x=499, y=238..249
y=48, x=210..219
x=424, y=1611..1627
x=215, y=650..664
y=1589, x=224..249
x=289, y=82..99
x=468, y=1741..1753
x=170, y=1128..1145
x=365, y=276..286
x=246, y=589..603
x=372, y=591..601
x=195, y=1118..1139
x=266, y=1410..1430
x=226, y=46..55
x=272, y=1448..1459
x=470, y=1128..1148
y=1653, x=375..384
x=536, y=246..250
y=563, x=173..201
y=461, x=367..377
x=307, y=813..821
y=1670, x=214..234
y=29, x=159..180
x=495, y=1088..1103
y=1208, x=465..472
x=171, y=1072..1095
y=924, x=504..520
x=433, y=672..683
x=383, y=1070..1081
y=1784, x=519..521
y=1440, x=548..551
x=547, y=1224..1230
y=251, x=386..407
x=529, y=53..63
x=183, y=967..973
y=704, x=459..464
y=791, x=274..278
y=954, x=171..187
x=252, y=710..718
y=786, x=247..249
x=484, y=325..336
x=320, y=1703..1728
x=386, y=1570..1582
x=461, y=119..145
x=341, y=382..392
y=1485, x=201..203
x=365, y=1624..1628
y=306, x=526..532
x=434, y=408..422
y=156, x=418..444
x=515, y=96..106
x=463, y=1270..1290
y=643, x=433..451
y=1533, x=182..197
x=188, y=1775..1785
y=1244, x=253..257
y=271, x=355..369
x=508, y=11..21
y=206, x=513..518
x=335, y=491..517
x=444, y=1346..1348
y=852, x=192..198
y=271, x=540..550
x=534, y=1049..1054
x=472, y=519..526
y=828, x=296..314
y=1385, x=491..502
y=1423, x=395..404
y=105, x=518..528
y=1797, x=305..321
x=554, y=340..349
x=528, y=134..142
y=1745, x=418..422
x=203, y=1571..1589
y=308, x=395..406
y=1620, x=498..517
x=322, y=727..744
x=176, y=49..64
x=382, y=1578..1594
x=241, y=1490..1503
x=310, y=1661..1682
y=1165, x=343..387
x=438, y=1497..1519
x=547, y=340..349
y=31, x=539..552
y=1078, x=313..337
x=436, y=389..400
x=193, y=698..701
y=1527, x=251..395
x=237, y=1306..1325
x=501, y=217..229
x=175, y=460..473
x=282, y=1406..1418
x=394, y=1490..1500
x=451, y=631..643
x=198, y=1283..1285
x=341, y=678..685
x=412, y=1005..1012
x=314, y=565..570
y=509, x=348..354
x=176, y=69..92
y=1748, x=164..206
y=728, x=471..487
x=538, y=246..250
y=824, x=209..213
x=331, y=1500..1509
x=461, y=544..555
y=1466, x=213..239
x=459, y=1000..1002
x=463, y=346..358
x=315, y=468..495
y=291, x=330..346
x=539, y=13..31
x=300, y=584..600
x=295, y=1645..1649
y=1038, x=411..431
x=166, y=1774..1785
x=412, y=1373..1380
x=520, y=389..400
x=201, y=1069..1071
x=219, y=1732..1742
x=430, y=1342..1366
x=416, y=1344..1350
y=46, x=230..244
x=397, y=527..531
x=545, y=243..253
y=1628, x=365..372
x=201, y=215..240
x=410, y=1420..1439
x=322, y=1343..1357
x=334, y=1265..1278
x=286, y=77..87
y=804, x=262..271
x=304, y=1344..1357
x=548, y=856..859
x=201, y=1010..1023
x=414, y=855..858
x=362, y=882..885
y=171, x=523..528
x=293, y=802..818
x=510, y=1456..1473
y=704, x=183..206
y=855, x=414..416
y=941, x=547..553
y=1171, x=181..188
y=1396, x=368..377
y=1210, x=229..238
y=1155, x=531..553
x=251, y=27..32
x=323, y=241..268
x=475, y=1587..1591
x=459, y=1197..1213
x=517, y=115..127
x=347, y=1296..1304
y=1185, x=469..481
y=303, x=187..195
x=349, y=327..342
x=395, y=13..27
x=439, y=1694..1713
x=271, y=437..449
x=187, y=939..954
x=224, y=524..528
x=255, y=156..172
x=259, y=1794..1800
x=219, y=1657..1667
y=1690, x=188..227
x=326, y=1109..1112
x=341, y=530..544
y=807, x=236..256
x=219, y=804..827
y=499, x=200..209
x=409, y=1672..1696
x=251, y=1513..1527
x=353, y=1088..1101
x=220, y=453..477
y=1228, x=393..395
y=20, x=409..413
x=276, y=1667..1682
y=1116, x=379..381
y=1240, x=498..507
x=543, y=1200..1220
y=709, x=312..337
x=329, y=716..721
y=869, x=404..423
x=199, y=460..473
x=306, y=390..397
x=360, y=1771..1783
x=287, y=146..155
x=344, y=792..796
x=420, y=1281..1306
y=831, x=172..174
x=239, y=510..514
y=1518, x=463..472
x=315, y=1275..1302
x=438, y=1787..1791
y=1509, x=331..333
y=38, x=513..517
x=399, y=341..344
y=1536, x=432..435
x=197, y=1638..1650
x=386, y=1744..1757
y=1282, x=241..257
y=486, x=417..434
x=445, y=406..419
y=21, x=488..508
y=1208, x=294..316
y=1804, x=246..272
x=245, y=687..704
y=640, x=443..445
y=1648, x=429..447
y=1774, x=443..453
x=236, y=999..1001
y=1455, x=247..268
y=1010, x=421..431
x=201, y=1475..1485
x=468, y=1335..1363
x=371, y=712..725
x=181, y=1163..1171
x=312, y=940..953
x=362, y=1284..1297
x=182, y=984..991
x=524, y=628..651
x=477, y=286..297
x=365, y=608..626
x=368, y=981..984
y=1092, x=205..212
x=178, y=1327..1338
x=484, y=1010..1037
x=300, y=181..189
x=329, y=1109..1112
y=483, x=306..309
x=359, y=946..951
x=268, y=1450..1455
x=404, y=996..1001
x=252, y=1794..1800
x=169, y=1508..1533
x=430, y=1200..1202
y=1141, x=157..159
x=443, y=1798..1800
x=224, y=45..55
x=544, y=628..651
y=207, x=334..340
x=213, y=423..438
y=510, x=402..430
y=407, x=265..283
x=273, y=116..132
x=204, y=803..827
y=439, x=498..500
y=1806, x=176..196
x=417, y=47..48
y=1779, x=544..551
y=219, x=307..324
x=210, y=1386..1388
x=379, y=1283..1297
x=325, y=583..600
x=295, y=436..449
x=270, y=1711..1730
y=144, x=220..228
x=407, y=249..251
y=858, x=414..416
x=299, y=774..782
x=335, y=1367..1377
x=370, y=1108..1122
x=178, y=308..334
x=359, y=158..167
x=309, y=483..485
x=163, y=1168..1191
y=688, x=426..444
y=872, x=203..209
x=501, y=1749..1762
x=373, y=788..790
x=343, y=1155..1165
y=827, x=204..219
x=505, y=1333..1359
x=155, y=1755..1765
y=237, x=159..168
x=474, y=1642..1646
x=480, y=609..632
x=180, y=4..29
x=434, y=1338..1351
x=177, y=799..809
y=1012, x=412..414
x=449, y=607..620
x=223, y=1739..1754
x=511, y=220..232
x=517, y=1594..1620
x=491, y=328..340
y=286, x=363..365
y=750, x=371..483
x=376, y=698..708
x=502, y=1371..1385
y=487, x=447..455
y=693, x=251..263
x=348, y=507..509
y=1649, x=290..295
y=1583, x=268..278
y=288, x=406..424
x=533, y=575..603
y=503, x=441..466
y=1108, x=195..215
y=671, x=496..498
y=274, x=512..557
x=418, y=189..196
y=796, x=344..347
x=377, y=1029..1038
y=1304, x=347..351
x=167, y=70..92
x=489, y=1585..1595
y=1758, x=490..493
x=234, y=1659..1670
x=377, y=458..461
y=1118, x=379..381
x=441, y=614..617
y=292, x=495..500
x=523, y=28..42
x=242, y=471..488
x=450, y=1466..1471
x=463, y=1489..1505
y=204, x=513..518
y=1071, x=195..201
x=507, y=94..102
x=309, y=285..290
x=253, y=901..913
x=452, y=17..33
x=161, y=99..121
y=773, x=369..389
x=396, y=966..985
x=251, y=693..696
x=191, y=48..64
x=404, y=849..869
y=83, x=396..398
y=1023, x=201..203
x=267, y=28..32
x=235, y=710..714
x=456, y=1716..1725
x=230, y=1175..1176
x=328, y=920..929
x=439, y=1176..1180
y=87, x=261..286
y=1128, x=427..447
y=22, x=409..413
x=495, y=1281..1289
x=373, y=406..429
y=1123, x=517..532
x=398, y=1131..1145
x=516, y=743..756
y=913, x=425..431
y=659, x=449..454
x=182, y=504..527
x=355, y=1707..1717
y=528, x=197..224
x=225, y=108..116
x=239, y=1709..1737
x=398, y=801..811
x=211, y=298..323
x=497, y=898..902
x=238, y=1194..1210
y=933, x=164..172
x=415, y=919..929
x=262, y=781..804
x=511, y=874..883
y=708, x=371..376
x=242, y=841..855
x=314, y=920..935
y=1364, x=541..549
y=724, x=476..479
x=501, y=1491..1493
y=449, x=271..295
x=320, y=364..376
y=1750, x=374..376
x=196, y=70..95
y=127, x=501..517
y=1210, x=202..207
y=397, x=304..306
y=1175, x=479..493
x=320, y=284..290
x=295, y=544..569
x=490, y=1754..1758
x=285, y=236..253
y=984, x=368..370
x=532, y=1693..1709
x=363, y=1125..1137
x=472, y=368..382
x=422, y=970..986
y=166, x=331..346
x=210, y=43..48
y=174, x=376..399
y=1588, x=498..507
y=184, x=347..373
x=506, y=350..360
y=211, x=334..340
y=981, x=517..520
x=466, y=1461..1473
x=508, y=333..339
x=446, y=1741..1753
y=1437, x=205..233
x=321, y=963..973
x=389, y=1470..1482
y=1097, x=378..402
y=1473, x=466..469
y=1361, x=230..235
x=334, y=848..851
x=510, y=1066..1079
y=1519, x=432..435
x=338, y=964..973
x=242, y=1686..1701
y=403, x=167..169
y=1037, x=465..484
y=200, x=189..213
x=236, y=1751..1765
x=346, y=159..166
x=498, y=1236..1240
x=318, y=35..49
x=456, y=1128..1148
x=176, y=1577..1581
x=390, y=798..805
x=225, y=187..202
y=1145, x=170..176
y=1524, x=312..343
x=532, y=1676..1685
x=330, y=286..291
x=439, y=1405..1419
x=213, y=1447..1466
y=406, x=228..232
x=189, y=195..200
x=320, y=938..950
x=236, y=804..807
y=338, x=273..281
x=312, y=1454..1456
y=27, x=395..422
x=221, y=354..380
x=406, y=297..308
x=529, y=1311..1313
x=220, y=558..565
x=354, y=289..314
x=323, y=1038..1066
x=383, y=840..850
x=459, y=1335..1363
y=438, x=213..221
y=234, x=351..373
x=509, y=240..254
y=1730, x=270..282
y=1340, x=523..526
y=1721, x=211..218
x=224, y=1586..1589
y=1586, x=224..249
x=391, y=68..87
y=1521, x=312..343
x=234, y=999..1001
x=368, y=1369..1396
y=349, x=547..554
y=1627, x=424..447
x=465, y=1205..1208
y=985, x=501..528
x=205, y=718..734
x=233, y=1422..1437
x=365, y=629..634
x=501, y=116..127
x=520, y=763..767
x=174, y=815..831
x=430, y=1788..1791
x=280, y=1592..1597
x=304, y=1217..1224
y=1511, x=443..446
x=284, y=1737..1761
y=1409, x=164..185
x=461, y=1584..1595
y=1233, x=385..402
y=991, x=295..297
x=369, y=302..320
x=343, y=1176..1190
y=710, x=228..235
x=180, y=941..945
x=354, y=695..701
x=210, y=1581..1592
y=396, x=459..481
x=453, y=1110..1113
y=229, x=498..501
y=1588, x=166..183
x=251, y=1667..1682
y=340, x=474..491
x=429, y=1734..1750
y=833, x=248..275
x=188, y=1679..1690
y=495, x=293..315
x=432, y=1491..1519
x=517, y=137..147
y=1071, x=436..440
x=344, y=990..993
y=1291, x=369..372
y=1785, x=166..188
y=147, x=324..339
x=339, y=1767..1783
x=305, y=1060..1074
x=504, y=914..924
x=471, y=693..707
x=310, y=1367..1377
x=510, y=408..420
y=1081, x=431..449
x=382, y=1667..1669
x=300, y=1011..1027
x=361, y=1706..1709
x=462, y=87..104
y=1022, x=167..191
x=422, y=651..664
x=296, y=1387..1397
y=534, x=423..438
x=219, y=1149..1162
x=347, y=990..993
x=234, y=884..896
x=518, y=468..489
x=471, y=252..254
x=328, y=941..953
x=193, y=800..809
y=811, x=379..398
x=200, y=491..499
y=420, x=510..534
x=432, y=543..555
x=381, y=1428..1440
x=337, y=1200..1214
x=263, y=455..480
y=1076, x=436..440
x=231, y=227..237
x=436, y=84..91
x=459, y=702..704
x=343, y=1521..1524
x=368, y=1048..1060
y=1594, x=363..382
x=236, y=628..654
x=314, y=661..687
x=364, y=1406..1418
y=895, x=308..322
y=651, x=524..544
x=391, y=1244..1257
y=489, x=518..546
x=182, y=1523..1533
x=350, y=381..392
y=701, x=189..193
x=555, y=223..234
x=481, y=1282..1289
x=494, y=1404..1420
x=239, y=1535..1548
x=518, y=285..297
x=371, y=1128..1141
x=372, y=1625..1628
x=532, y=301..306
x=167, y=394..403
x=245, y=841..867
y=250, x=536..538
y=1800, x=429..443
x=167, y=959..977
x=159, y=1134..1141
x=246, y=1791..1804
y=32, x=251..267
x=230, y=19..46
x=387, y=278..291
x=201, y=655..660
x=429, y=1647..1648
x=317, y=938..950
x=232, y=559..565
x=191, y=999..1022
x=176, y=692..710
y=675, x=513..534
x=284, y=1075..1084
x=492, y=1117..1134
y=1145, x=378..398
x=437, y=1149..1161
x=523, y=1336..1340
y=247, x=452..467
x=250, y=60..62
x=275, y=823..833
x=342, y=879..892
x=259, y=1420..1426
x=299, y=1672..1679
y=1002, x=459..471
x=435, y=1492..1519
x=499, y=97..106
y=1399, x=508..535
x=417, y=882..890
x=246, y=1235..1247
x=400, y=1200..1214
y=237, x=231..237
y=1154, x=426..429
x=183, y=683..704
y=1742, x=214..219
x=500, y=429..439
y=1212, x=502..517
y=1569, x=224..252
y=1439, x=410..413
y=1669, x=379..382
y=1722, x=375..383
x=455, y=544..555
y=1388, x=199..210
x=159, y=3..29
y=1284, x=520..530
x=536, y=368..376
y=1354, x=314..316
y=850, x=369..383
y=1273, x=346..350
x=486, y=1729..1730
y=290, x=309..320
y=758, x=307..317
x=415, y=1472..1475
x=339, y=142..147
x=211, y=1615..1624
x=489, y=610..632
x=393, y=608..626
x=532, y=1333..1359
y=1534, x=497..525
x=346, y=287..291
x=363, y=715..728
x=300, y=1578..1582
y=1001, x=394..404
x=540, y=267..271
x=498, y=429..439
x=293, y=468..495
x=403, y=1288..1290
y=49, x=297..318
y=220, x=407..417
y=1597, x=395..402
x=353, y=327..342
x=386, y=798..805
x=425, y=888..913
x=505, y=1147..1160
y=1387, x=521..524
x=170, y=1168..1191
x=438, y=1201..1202
y=660, x=201..208
y=1092, x=391..393
y=1184, x=331..334
x=366, y=1069..1081
x=449, y=654..659
y=297, x=477..518
x=208, y=1249..1251
y=1289, x=481..495
x=232, y=326..338
y=1724, x=302..307
x=265, y=387..407
x=228, y=710..714
y=32, x=513..517
y=1696, x=409..436
x=195, y=1310..1312
y=1765, x=155..176
x=502, y=1186..1212
x=463, y=650..663
x=211, y=1716..1721
y=1698, x=470..498
x=438, y=1109..1116
x=369, y=1281..1291
x=444, y=934..940
x=466, y=1794..1797
y=710, x=170..176
x=214, y=1638..1650
x=495, y=75..88
x=504, y=946..953
y=725, x=371..375
x=386, y=817..829
x=526, y=302..306
x=314, y=810..828
x=534, y=661..675
y=714, x=228..235
x=263, y=235..253
x=469, y=1180..1185
x=399, y=279..291
y=1155, x=223..249
x=213, y=1615..1624
y=422, x=434..453
x=538, y=1017..1022
x=374, y=1662..1672
x=223, y=1141..1155
x=171, y=1641..1668
x=417, y=1201..1204
x=174, y=7..19
x=446, y=281..291
x=340, y=1248..1251
x=513, y=32..38
x=332, y=679..685
x=375, y=1707..1722
y=555, x=414..432
x=357, y=137..147
y=1682, x=251..276
x=531, y=1138..1155
x=282, y=186..206
y=1017, x=342..363
y=1628, x=206..225
y=1376, x=197..216
x=413, y=499..502
x=195, y=1765..1767
x=357, y=859..871
x=214, y=1660..1670
y=728, x=363..382
x=467, y=1587..1591
x=231, y=841..855
x=173, y=1438..1449
y=1671, x=439..464
x=391, y=1092..1094
x=489, y=412..437
y=1380, x=410..412
y=1336, x=283..292
x=317, y=1370..1372
x=185, y=155..168
x=360, y=978..990
x=518, y=87..105
x=538, y=1304..1316
y=428, x=160..181
x=271, y=780..804
x=320, y=1223..1236
x=241, y=759..770
y=1232, x=327..329
x=198, y=1697..1708
x=405, y=1492..1505
x=179, y=1605..1609
y=1032, x=251..259
x=526, y=1336..1340
x=335, y=326..344
x=370, y=981..984
x=316, y=1181..1208
y=310, x=253..269
y=642, x=386..407
y=234, x=537..555
y=1613, x=508..511
x=402, y=1593..1597
